Name,Departments,Hospital,Profile
"Sabri Barsoum, MD","Regional Practice Anesthesiology, General Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/3440-sabri-barsoum
"Andrew Bauer, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/17175-andrew-bauer
"Bryan Benson, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/31157-bryan-benson
"Philippe Berenger, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/2877-philippe-berenger
"Jean Beresian, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/31507-jean-beresian
"Nikhil Bhatnagar, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/21121-nikhil-bhatnagar
"Sekar Bhavani, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5880-sekar-bhavani
"Alina Bodas, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14051-alina-bodas
"Raymond Borkowski, MD","General Anesthesiology, Quality and Patient Safety Institute",Cleveland Clinic,https://my.clevelandclinic.org/staff/1291-raymond-borkowski
"Vera Borzova, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14383-vera-borzova
"Vanessa Bou Sleiman, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32002-vanessa-bou-sleiman
"Demetrios Bourdakos, MD","Intensive Care and Resuscitation, General Anesthesiology, General Surgery",Cleveland Clinic,https://my.clevelandclinic.org/staff/1654-demetrios-bourdakos
"Nelson Burbano-Vera, MD","Cardiothoracic Anesthesiology, Pediatric Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/23691-nelson-burbano-vera
"Sergio Bustamante, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/9435-sergio-bustamante
"Tony Capizzani, MD","General Surgery, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/14901-tony-capizzani
"Pilar Castro, MD","Pediatric Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/8653-pilar-castro
"Praveen Chahar, MD","Intensive Care and Resuscitation, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/20831-praveen-chahar
"Jianguo Cheng, MD, PhD","Pain Management, Neurosciences",Cleveland Clinic,https://my.clevelandclinic.org/staff/7137-jianguo-cheng
"Monica Cheriyan, MD, MPH","Regional Practice Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/22361-monica-cheriyan
"Surendrasingh Chhabada, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/21148-surendrasingh-chhabada
"Eric Chiang, MD","Center for Obstetrical Anesthesiology, Regional Practice Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/16867-eric-chiang
"Courtney Chow, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/27936-courtney-chow
"Larissa Combs, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/28588-larissa-combs
"Sherif Costandi, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/17414-sherif-costandi
"Miguel Cruz Correa, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14006-miguel-cruz-correa
"Todd Csorba, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14287-todd-csorba
"Kenneth Cummings, III, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6098-kenneth-cummings-iii
"Jacek Cywinski, MD","General Anesthesiology, Outcomes Research, Transplantation Center",Cleveland Clinic,https://my.clevelandclinic.org/staff/3991-jacek-cywinski
"Yael Dahan, MD","Pediatric Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/21031-yael-dahan
"Emad Daoud, MD, PhD","Pain Management, Administration",Cleveland Clinic,https://my.clevelandclinic.org/staff/3110-emad-daoud
"Nikolas Daskalakis, DO",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/27646-nikolas-daskalakis
"Teresa Dews, MD","Pain Management, Regional Hospital Administration",Cleveland Clinic,https://my.clevelandclinic.org/staff/770-teresa-dews
"Anthony Divito, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32700-anthony-divito
"Michael Dubinsky, DO",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14495-michael-dubinsky
"Andra Duncan, MD","Cardiothoracic Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/4308-andra-duncan
"Paul Eisenberg, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32164-paul-eisenberg
"Jennifer Eismon, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/29741-jennifer-eismon
"Nour El Hage Chehade, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32179-nour-el-hage-chehade
"Yuriy Estrin, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/8340-yuriy-estrin
"Jacob Ezell, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/28595-jacob-ezell
"Faith Factora, MD","Intensive Care and Resuscitation, General Anesthesiology, General Surgery",Cleveland Clinic,https://my.clevelandclinic.org/staff/16180-faith-factora
"Ehab Farag, MD","General Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/4708-ehab-farag
"Joseph Foss, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/7032-joseph-foss
"Ursula Galway, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/7620-ursula-galway
"Syeda Zahra Gardezi, MD","Intensive Care and Resuscitation, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/20606-syeda-zahra-gardezi
"Brett Gentle, DO",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/33384-brett-gentle
"John George, III, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/13859-john-george-iii
"Mariya Geube, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/18255-mariya-geube
"Sherine Ghafoori, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/30662-sherine-ghafoori
"Tamer Ghaly, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/17434-tamer-ghaly
"Nicholas Gibson, DO",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/33236-nicholas-gibson
"George E. Girgis, DO",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/8607-george-e-girgis
"Martin Grady, MD","Outcomes Research, Regional Practice Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/2475-martin-grady
"Paul Gray, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5460-paul-gray
"Brock Gretter, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/7670-brock-gretter
"Sam Gumbert, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/26967-sam-gumbert
"Ryan Hanson, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/27865-ryan-hanson
"Jennifer Hargrave, DO",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14499-jennifer-hargrave
"Manal Hassan, MD, PhD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5385-manal-hassan
"Tara Hata, MD","Pediatric Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/14985-tara-hata
"Michael Hauser, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/8941-michael-hauser
"Dianne Havanchak, CNP",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/17514-dianne-havanchak
"Robert Helfand, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/1413-robert-helfand
"Nicole Hennicke, CRNA","Regional Practice Anesthesiology, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/17534-nicole-hennicke
"Jessica Hill, CNP",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/14546-jessica-hill
"Richard Hofstra, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/16863-richard-hofstra
"Tara-Lin Hollins, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/29704-tara-lin-hollins
"Alma Hoxha, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/29788-alma-hoxha
"Lisa Huang, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/33046-lisa-huang
"Maria Huarte, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32150-maria-huarte
"Sedra Hussein, DO",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/33300-sedra-hussein
"Cristian Iditoiu, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/16868-cristian-iditoiu
"Samuel Irefin, MD","General Anesthesiology, Transplantation Center",Cleveland Clinic,https://my.clevelandclinic.org/staff/2248-samuel-irefin
"Mariana Iskander, PA-C",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/18472-mariana-iskander
"Joti Juneja Mucci, MD","General Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/16235-joti-juneja-mucci
"David Jury, MD","Intensive Care and Resuscitation, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/18245-david-jury
"John Kanaan, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/20887-john-kanaan
"Roop Kaw, MD","Hospital Medicine, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/4009-roop-kaw
"Allen Keebler, DO",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/8881-allen-keebler
"Marta Kelava, MD","Cardiothoracic Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/23573-marta-kelava
"Megan Kelly, CNP",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/24938-megan-kelly
"Denise Keriotis, PA-C",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/19390-denise-keriotis
"Maureen Keshock, MD, MHSA",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14784-maureen-keshock
"Sandeep Khanna, MD","General Anesthesiology, Cardiothoracic Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/19801-sandeep-khanna
"Reem Khatib, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/7171-reem-khatib
"Jin Young Kim, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/30682-jin-young-kim
"John Kim, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/16843-john-kim
"Andrew King, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/28905-andrew-king
"Sree Kolli, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/20738-sree-kolli
"Ryu Komatsu, MD","General Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/29599-ryu-komatsu
"Tatyana Kopyeva, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6246-tatyana-kopyeva
"Michael Kot, MD","Cardiothoracic Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/23255-michael-kot
"Megan Kral, CNP",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/23126-megan-kral
"Mark Krantz, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2478-mark-krantz
"Kathryn Kraus, PA-C",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/7464-kathryn-kraus
"Jennifer Kumar, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/31760-jennifer-kumar
"Frank Kushnar-Sanderson, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/30741-frank-kushnar-sanderson
"Riad Laham, MD","Pain Management, Regional Practice Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/2630-riad-laham
"Martin Laskey, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5223-martin-laskey
"Serle Levin, MD","Regional Practice Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/24698-serle-levin
"Lauren Licina, MD","Pediatric Anesthesiology, Regional Practice Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/22407-lauren-licina
"Jia Lin, MD, PhD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/4170-jia-lin
"Jia Liu, MD","Regional Practice Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/19755-jia-liu
"Jessica Lovich-Sapola, MD, MBA",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/29670-jessica-lovich-sapola
"Sara Lozano, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/5063-sara-lozano
"Sandra Machado, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/18409-sandra-machado
"Barbara Maline, PA-C",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/17073-barbara-maline
"Yulia Maly, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/4785-yulia-maly
"Morris Mandel, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/3684-morris-mandel
"Mariel Manlapaz, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6075-mariel-manlapaz
"Dorothea Markakis, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2331-dorothea-markakis
"Dale Marsh, MD","Intensive Care and Resuscitation, Cardiothoracic Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/6713-dale-marsh
"Edward Mascha, PhD","Quantitative Health Sciences, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/5338-edward-mascha
"Tom Mathew, MD","Hospital Medicine, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/22063-tom-mathew
"Piyush Mathur, MD","General Anesthesiology, General Surgery",Cleveland Clinic,https://my.clevelandclinic.org/staff/7622-piyush-mathur
"Trisha McGinnis, DO",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/26193-trisha-mcginnis
"John Medrick, DO","Regional Practice Anesthesiology, General Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/23451-john-medrick
"Anand Mehta, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/9577-anand-mehta
"Nagy Mekhail, MD, PhD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/1157-nagy-mekhail
"Sarah Micklewright, PA-C",Anesthesiology Institute,Cleveland Clinic,https://my.clevelandclinic.org/staff/20994-sarah-micklewright
"Beth Minzter, MD","Pain Management, Taussig Cancer Institute",Cleveland Clinic,https://my.clevelandclinic.org/staff/8128-beth-minzter
"Sheryl Modlin, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/26041-sheryl-modlin
"Kelly Mordock, CNP",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/21716-kelly-mordock
"Benjamin Mori, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/31682-benjamin-mori
"Nicholas Moses, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/28253-nicholas-moses
"Jill Mushkat Conomy, PhD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/16674-jill-mushkat-conomy
"Emmarie Myers, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32617-emmarie-myers
"Fady Nageeb, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/8458-fady-nageeb
"Harsha Nair, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/25413-harsha-nair
"Christopher Nam, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/33270-christopher-nam
"Sreelatha Nandigam, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/4350-sreelatha-nandigam
"Daniel Napierkowski, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2480-daniel-napierkowski
"Alireza Navadeh, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6069-alireza-navadeh
"Jeffrey Neurock, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/23460-jeffrey-neurock
"Dale Novak, PA-C","Pain Management, Administration",Cleveland Clinic,https://my.clevelandclinic.org/staff/5674-dale-novak
"Jerome O'Hara, Jr., MD","General Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/688-jerome-ohara-jr
"Shari Oesterreich, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/27665-shari-oesterreich
"Lori Ann Oliver, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/29082-lori-ann-oliver
"Omar Omar, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/8364-omar-omar
"Thida Ong, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/27957-thida-ong
"Evan Parker, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/31984-evan-parker
"Irina Pashkovskaya, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6971-irina-pashkovskaya
"Priyesh Patel, MD","Intensive Care and Resuscitation, Regional Practice Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/23353-priyesh-patel
"William Pender, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/31776-william-pender
"Silvia Perez Protto, MD, MS, MBA","Intensive Care and Resuscitation, General Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/17783-silvia-perez-protto
"Mauricio Perilla Pineda, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/8658-mauricio-perilla-pineda
"Attila Podolyak, MD","Regional Practice Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/23174-attila-podolyak
"Kristin Powers, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/31953-kristin-powers
"James Prata, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2482-james-prata
"Delano Proctor, IV, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/19952-delano-proctor-iv
"Nadeem Rahman, MD","General Anesthesiology, General Surgery, Cerebrovascular Center, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/8867-nadeem-rahman
"Shobana Rajan, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/19174-shobana-rajan
"Mangalakaraipudur Ramachandran, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/4169-mangalakaraipudur-ramachandran
"Ihab Riad, MD, MBA",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/16864-ihab-riad
"Ria Richardson, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/28430-ria-richardson
"R. Michael Ritchey, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/1507-r-michael-ritchey
"Stacy Ritzman, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/6558-stacy-ritzman
"Megan Rodgers McCormick, DO",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/30713-megan-rodgers-mccormick
"Shelly-Anne Rodriguez, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/9260-shelly-anne-rodriguez
"Richard W. Rosenquist, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/16149-richard-w-rosenquist
"Joy Roth, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/3132-joy-roth
"Eric Rothfusz, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2483-eric-rothfusz
"Krysten Rothstein, DO",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/26786-krysten-rothstein
"James Rowbottom, MD","Cardiothoracic Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/22980-james-rowbottom
"Kasia Rubin, MD, MBA",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/27910-kasia-rubin
"Kurt Ruetzler, MD","General Anesthesiology, Outcomes Research",Cleveland Clinic,https://my.clevelandclinic.org/staff/19863-kurt-ruetzler
"Shiva Sale, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/7663-shiva-sale
"Kenneth Saliba, DO",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/14082-kenneth-saliba
"Samuel Samuel, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/6038-samuel-samuel
"Melodie Sarebanha, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32309-melodie-sarebanha
"Dawn Schell, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/13945-dawn-schell
"Mirna Scordos, DO",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32965-mirna-scordos
"John Seif, MD, MBA","Pediatric Anesthesiology, Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/15018-john-seif
"Dmitry Sharakou, MD, PhD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/26185-dmitry-sharakou
"Paul Shin, MD",Pain Management,Cleveland Clinic,https://my.clevelandclinic.org/staff/2176-paul-shin
"Asha Singh, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/22418-asha-singh
"Nikolaos Skubas, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/22265-nikolaos-skubas
"Karen Steckner, MD","General Anesthesiology, Center for Obstetrical Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/1996-karen-steckner
"Leeanne Stratton, MD","General Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/21222-leeanne-stratton
"Wai Sung, MD",Pediatric Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/2917-wai-sung
"Nicholas Swerchowsky, DO",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/23432-nicholas-swerchowsky
"Madiha Syed, MD","General Anesthesiology, Intensive Care and Resuscitation",Cleveland Clinic,https://my.clevelandclinic.org/staff/21118-madiha-syed
"Husien Taleb, MBBS",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/32251-husien-taleb
"Mark Taylor, MD","Surgical Operations, Regional Practice Anesthesiology",Cleveland Clinic,https://my.clevelandclinic.org/staff/21751-mark-taylor
"Michael Taylor, MD","Cardiothoracic Anesthesiology, Medical Operations",Cleveland Clinic,https://my.clevelandclinic.org/staff/17575-michael-taylor
"Ihab Toma, MD",Regional Practice Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/4613-ihab-toma
"Oscar Tovar-Camargo, MD",Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/27666-oscar-tovar-camargo
"Stefan Trela, MD",General Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/28452-stefan-trela
"Christopher Troianos, MD",Anesthesiology Institute,Cleveland Clinic,https://my.clevelandclinic.org/staff/20499-christopher-troianos
"Carlos Trombetta, MD",Cardiothoracic Anesthesiology,Cleveland Clinic,https://my.clevelandclinic.org/staff/13590-carlos-trombetta
