Name,Speciality,Treats,Hospital,Profile
"Giscard Adeclat, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23790/Giscard-Adeclat
"Josna Adusumilli, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19465/Josna-Adusumilli
"Aalok Agarwala, Md, Mba","['Anesthesia for abdominal surgery', 'Anesthesia for general surgery', 'Anesthesia for gynecologic surgery', 'Anesthesia for urologic surgery', 'Obstetric anesthesia', 'Operating Room Management', 'Quality Improvement', 'Vascular anesthesia']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/18620/Aalok-Agarwala
"Francisco Agrait-Taboas, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20136/Francisco-Agrait-Taboas
"Shubham Agrawal, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23759/Shubham-Agrawal
"Aaron Aguirre, Md, Phd","['Acute Coronary Syndromes', 'Cardiac imaging', 'Cardiac Intensive Care', 'Cardiology', 'Coronary artery disease', 'Heart failure', 'Mechanical Circulatory Support (MCS)']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19714/Aaron-Aguirre
"Zeba Ahmad, Phd","['Anxiety', 'Chronic pain', 'Cognitive-Behavioral Therapy', 'Depression', 'Fatigue', 'Group psychotherapy', 'Health Anxiety', 'Insomnia', 'Mindfulness', 'Post-Traumatic Stress (PTS)', 'Post-Traumatic Stress Disorder (PTSD)', 'Prolonged Grief Disorder', 'Psychotherapy', 'Sexual Health and Wellness']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23527/Zeba-Ahmad
"Marwa Ahmed, Md, Ms","['Ankle injuries', 'Back pain', 'Diagnostic ultrasound', 'Hand, wrist, elbow, finger, tendon pain and injuries', 'Integrative medicine', 'Knee injuries', 'Neck pain', 'Nutrition', 'Preventive medicine', 'Regenerative medicine', 'Shoulder & elbow injuries', 'Sports injuries of the spine', 'Sports medicine', 'Ultrasound-guided injections', 'Wellness']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20015/Marwa-Ahmed
"Shihab Ahmed, Mbbs","['Chronic pain', 'Pain medicine']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17096/Shihab-Ahmed
"Michelle Ahn, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20675/Michelle-Ahn
"Joseph Ahn, Md","['Electroconvulsive therapy', 'Geriatric depression', 'Geriatric Psychiatry', 'Neurodegenerative disease and memory loss']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20223/Joseph-Ahn
"Aimalohi Ahonkhai, Md, Mph",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23498/Aimalohi-Ahonkhai
"Imoigele Aisiku, Md, Mba",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23135/Imoigele-Aisiku
"Nour Al Jalbout, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22400/Nour-Al-Jalbout
"Ayman Al Jurdi, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23423/Ayman-Al-Jurdi
"Hanny Al-Samkari, Md","['Antiphospholipid antibody syndrome', 'Autoimmune hemolytic anemia', 'Hematologic complications of cancer (including chemotherapy-induced thrombocytopenia)', 'Hereditary hemorrhagic telangiectasia (Osler-Weber-Rendu disease)', 'Immune thrombocytopenia', 'Red cell enzyme disorders (pyruvate kinase deficiency and others)', 'Thalassemia']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20379/Hanny-Al-Samkari
"Titilayo Alabi, Md","['Adult primary care medicine', 'General internal medicine']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19794/Titilayo-Alabi
"Claude Alabre, Md","['Adult primary care medicine', 'Primary care medicine']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/18452/Claude-Alabre
"George Alba, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20544/George-Alba
"Mark Albers, Md, Phd","['Amyotrophic lateral sclerosis (ALS)', 'Memory disorders', 'Olfactory disorders']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17690/Mark-Albers
"Maurice Albright, Md","['Adolescent scoliosis', 'Cerebral palsy', 'Congenital musculoskeletal deformities', 'Hip dysplasia', 'Minimally invasive techniques', 'Pediatric fractures', 'Pediatric orthopaedics', 'Pediatric trauma', 'Spina Bifida']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17512/Maurice-Albright
"Katherine Albutt, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22404/Katherine-Albutt
"Richard Alexander, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23108/Richard-Alexander
"Corinne Alexander Cole, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19016/Corinne-Alexander-Cole
"Paul Alfille, Md","['Laryngeal anesthesia', 'Lung transplant', 'Medical informatics', 'Thoracic and regional anesthesia']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/16739/Paul-Alfille
"Kenda Alhadid, Md, Msc","['Cerebrovascular Malformations', 'Genetic and Acquired Vasculopathies', 'Neonatal Stroke', 'Pediatric stroke', 'Stroke in Pregnancy', 'Stroke in the young', 'Stroke in women']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23331/Kenda-Alhadid
"Pamela Ali, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23741/Pamela-Ali
"Awab Ali Ibrahim, Md","['Food as medicine', 'Obesity']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23111/Awab-Ali-Ibrahim
"Gianna Aliberti, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23746/Gianna-Aliberti
"Tarik Alkasab, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19085/Tarik-Alkasab
"Ahmad Alkashash, Mbbch",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23748/Ahmad-Alkashash
"Maan Alkharashi, Mbbs",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22745/Maan-Alkharashi
"Blake Alkire, Md, Mph","['Chronic sinus disease', 'Hearing loss', 'Nasal Obstruction']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19985/Blake-Alkire
"Jehan Alladina, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20559/Jehan-Alladina
"James Allan, Md","['Airway surgery', 'Benign and malignant diseases of the chest', 'Esophageal cancer', 'Hyperhidrosis', 'Lung cancer', 'Lung transplant', 'Myasthenia gravis']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/16862/James-Allan
"Andrew Allegretti, Md, Msc","['Chronic kidney disease', 'Cirrhosis', 'Hepatorenal syndrome', 'Hypertension', 'Portal hypertension', 'Transjugular Intrahepatic Portosystemic Shunts (TIPS)']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19959/Andrew-Allegretti
"John Allen, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23176/John-Allen
"Jill Allen, Md","['Ampullary cancer', 'Anal Cancer', 'Carcinoid tumor', 'Clinical trials', 'Colon cancer', 'Esophageal cancer', 'Gallbladder and Bile Duct Cancers', 'GE junction cancer', 'Liver cancer', 'Neuroendocrine cancers', 'Pancreatic cancer', 'Rectal cancer', 'Small bowel cancer', 'Stomach (gastric) cancer', 'Unknown primary cancers']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/18440/Jill-Allen
"Margaret Allison, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23867/Margaret-Allison
"Dana Allswede, Phd","['Anxiety', 'Behavioral Difficulties', 'Child and adolescent psychotherapy', 'Early Childhood Development and Behavior', 'Early Intervention', 'Parenting', 'Pregnancy and Perinatal Interventions', 'Trauma and post-traumatic stress disorder']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22778/Dana-Allswede
"Maria Beatrice Alora, Md","['Clinical trials', 'Photodynamic therapy', 'Psoriasis']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17809/Maria Beatrice-Alora
"Kyle Alpaugh, Md","['Arthritis surgery', 'Complex hip replacement', 'Complex knee replacement', 'Direct anterior approach hip replacement surgery', 'Hip fractures', 'Hip replacement', 'Hip revision surgery', 'Knee replacement', 'Knee revision surgery', 'Minimally invasive total hip replacement', 'Minimally invasive total knee replacement', 'Periprosthetic fractures', 'Rheumatoid arthritis', 'Robotic partial knee replacement', 'Robotic/computer assisted hip replacement', 'Robotic/computer assisted knee replacement']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22402/Kyle-Alpaugh
"Menekse Alpay, Md","['Movement disorders', 'Neuropsychiatry', 'Psychoanalysis']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17247/Menekse-Alpay
"David Alvarez, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23865/David-Alvarez
"Rodrigo Alvarez, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22871/Rodrigo-Alvarez
"Timothy Alves, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23639/Timothy-Alves
"Danielle Alves-Back, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/21024/Danielle-Alves-Back
"Bayan Alzumaili, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22827/Bayan-Alzumaili
"Amantia Ametaj, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23480/Amantia-Ametaj
"Christine Amitay, Md, Msc",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23581/Christine-Amitay
"Adaugo Amobi, Md, Mph",['Hospital Medicine'],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20380/Adaugo-Amobi
"Philip Amrein, Md","['Acute Leukemia', 'Chronic leukemia', 'Myelodysplasia', 'Myeloproliferative neoplasms']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/16568/Philip-Amrein
"Thomas An, Md","['Arterial interventions', 'Dialysis access management', 'IVC Filter Placement and Retrieval', 'Portal Hypertension', 'Thoracic interventions', 'Transjugular Intrahepatic Portosystemic Shunts (TIPS)', 'Tumor embolization and ablation', 'Venous recanalization']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23401/Thomas-An
"Amit Anand, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22403/Amit-Anand
"Ashwin Ananthakrishnan, Mbbs, Mph","[""Crohn's disease"", 'Gastroenterology', 'Ulcerative colitis']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/18454/Ashwin-Ananthakrishnan
"Lillye Anderson, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/24001/Lillye-Anderson
"Chad Anderson, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22996/Chad-Anderson
"Mark Anderson, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22974/Mark-Anderson
"Philip Anderson, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22715/Philip-Anderson
"Mark Anderson, Md","['Adverse events related to cancer immunotherapy', 'Gastrointestinal bleeding', 'IgG4-related Disease', 'Pancreaticobiliary Diseases', 'Prostate MRI']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/21069/Mark-Anderson
"Richard Anderson, Md","['Cosmetic dermatology', 'Dermatology (general)', 'Laser treatments', 'Skin cancer', 'Vascular malformations']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/16786/Richard-Anderson
"Karin Andersson, Md","['Abnormal Liver Function Tests', 'Autoimmune hepatitis, Autoimmune liver disease', 'Cirrhosis', 'EGD and colonoscopy', 'Hepatitis B', 'Hepatitis C', 'Liver disease', 'Primary Biliary Cholangitis']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/18201/Karin-Andersson
"Cyrielle Andrew, Psyd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22995/Cyrielle-Andrew
"James Andriotakis, Do",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23332/James-Andriotakis
"Arun Aneja, Md, Phd","['Acetabular Fractures', 'Complications of trauma', 'Femur fractures', 'Fracture care', 'Hip fractures', 'Limb deformity correction', 'Malunion and nonunion of fractures', 'Minimally invasive plating techniques', 'Open fracture management', 'Orthopedic trauma', 'Osteomyelitis', 'Pathological fractures', 'Polytrauma', 'Tibia Fractures', 'Trauma-related infections']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23593/Arun-Aneja
"Chika Anekwe, Md, Mph","['Chronic disease management', 'Disease prevention', 'Health promotion', 'Healthcare for vulnerable populations', 'Healthy living', 'Metabolism', 'Nutrition and health', 'Obesity medicine', 'Weight loss medication use for treatment of obesity', 'Weight regain after bariatric surgery']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20488/Chika-Anekwe
"Tiffany Angel, Md","['Dermatology (general)', 'Skin cancer']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17659/Tiffany-Angel
"David Anick, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23642/David-Anick
"Daniel Ankeny, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20433/Daniel-Ankeny
"Peter Ankomah, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23157/Peter-Ankomah
"Husam Ansari, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19192/Husamuddin-Ansari
"Andrea Ansari, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23318/Andrea-Ansari
"Emmanuel Ansong, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23787/Emmanuel-Ansong
"Erik Antonsen, Md, Phd, Ms",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23866/Erik-Antonsen
"Adjoa Anyane-Yeboa, Md, Mph",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20983/Adjoa-Anyane-Yeboa
"Narisa Apichatibutra, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23817/Narisa-Apichatibutra
"Luke Apisa, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22406/Luke-Apisa
"Brooks Applewhite, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22412/Brooks-Applewhite
"Dinah Applewhite, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/21023/Dinah-Applewhite
"Krishna Aragam, Md, Ms",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20381/Krishna-Aragam
"Tetsuro Araki, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23602/Tetsuro-Araki
"Alexy Arauz Boudreau, Md, Mph","['Adolescent medicine', 'Child development', 'Community health', 'General pediatrics', 'Newborn care']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17333/Alexy-Arauz-Boudreau
"Kevin Ard, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19809/Kevin-Ard
"Ali Ardestani, Md, Msc","['Ablation of Liver and Kidney Tumors', 'Biliary Interventions', 'Interventional Oncology', 'Non-invasive Vascular Imaging', 'Prostate Artery Embolization', 'TACE (Transarterial Chemoembolization)', 'Transjugular Intrahepatic Portosystemic Shunts (TIPS)', 'Uterine Fibroid Embolization (UFE)', 'Vascular Radiology', 'Vertebroplasty', 'Visceral Artery Aneurysms', 'Y90 (Yttrium-90) Radioembolization']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22413/Ali-Ardestani
"Ronald Arellano, Md","['Diagnostic abdominal / pelvic imaging', 'Image-guided Ablative Therapies (radiofrequency and microwave ablation', 'Non-vascular interventional radiology', 'TACE (Transarterial Chemoembolization)']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17230/Ronald-Arellano
"Ana Belen Arevalo Molina, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23455/Ana Belen-Arevalo-Molina
"Wynne Armand, Md","['Adult primary care medicine', 'Climate-Smart Health Care', 'General internal medicine', 'Preventive care', ""Women's Health Care""]",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17397/Wynne-Armand
"Grayson Armstrong, Md, Mph","['Cataracts', 'Ophthalmology']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22110/Grayson-Armstrong
"Amy Armstrong-Javors, Md","['Developmental delays', 'Functional Neurological Disorder', 'Headache disorders', 'Movement disorders', 'Neurofibromatosis', 'Neurogenetics', 'Neuro-oncology', 'Tics/Tourette syndrome']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20722/Amy-Armstrong-Javors
"M. Amin Arnaout, Md","['Acute Renal Failure', 'End Stage Renal Disease', 'Hemodialysis', 'Inflammatory kidney diseases', 'Polycystic kidney disease']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/16396/M. Amin-Arnaout
"Steven Arnold, Md","[""Alzheimer's Disease"", 'Amyotrophic lateral sclerosis (ALS)', 'Atypical Dementias', 'Creutzfeldt-Jakob Disease and other prion diseases', 'Mild Cognitive Impairment', 'Normal Pressure Hydrocephalus']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19778/Steven-Arnold
"Isabel Arrillaga-Romany, Md, Phd","['Brain and spinal cord tumors', 'Neurological complications of cancer therapy']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19505/Isabel-Arrillaga-Romany
"Sheila Arvikar, Md","['Lyme disease', 'Rheumatoid arthritis']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19263/Sheila-Arvikar
"Puneeta Arya, Md","['Cardiology', 'Congenital heart disease', 'Pediatric cardiology']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/19051/Puneeta-Arya
"Peter Asnis, Md","['ACL (anterior cruciate ligament) Injuries', 'ACL (anterior cruciate ligament) Reconstruction', 'Impingement Syndrome', 'Knee arthroscopy', 'Knee ligament injuries', 'Labral injuries and shoulder instability (SLAP, Bankart)', 'Meniscus tear', 'Revision ACL reconstruction', 'Rotator cuff repairs', 'Shoulder and knee injuries', 'Shoulder arthroscopy', 'Sports injuries']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17613/Peter-Asnis
"Akwi Asombang, Md, Mph",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/22414/Akwi-Asombang
"Nazem Atassi, Md","['Amyotrophic lateral sclerosis (ALS)', 'Neuromuscular disorders']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17843/Nazem-Atassi
"Micaela Atkins, Md","['Chronic nausea and vomiting', 'Gastrointestinal motility disorders', 'Irritable bowel syndrome', 'Swallowing disorders']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23437/Micaela-Atkins
"Steve Atlas, Md, Mph","['Adult primary care medicine', 'AIDS and HIV infection', 'Diabetes management', 'General internal medicine', 'Heart disease', 'Hypertension management', 'Low back pain']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/16325/Steven-Atlas
"Dinesh Atwal, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23945/Dinesh-Atwal
"Hugh Auchincloss, Md","['Achalasia', 'Esophageal cancer', 'Gastroesophageal reflux disease (GERD)', 'Hyperhidrosis', 'Lung cancer', 'Mesothelioma', 'Paraesophageal hernias', 'Pleural Disease', 'Robotic surgery', 'Thymoma and surgical treatment of myasthenia gravis', 'Tracheal surgery']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20315/Hugh-Auchincloss
"Becky Aures, Md",[],['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23195/Rebecca-Aures
"Megan Aurora, Md","['MA NeoQIC', 'Necrotizing enterocolitis prevention', 'Neonatology']",['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/20190/Megan-Aurora
"Sanjay Aurora, Md",[],['Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17208/Sanjay-Aurora
"Jay Austen, Md","['Botox and fillers (Juvederm)', 'Breast augmentation, Breast lift', 'Breast Reconstruction', 'Cleft Lip and Palate', 'Cosmetic surgery', 'Craniofacial surgery', 'Eyelid surgery (Blepharoplasty)', 'Facelift, Necklift, Rhinoplasty', 'Hair restoration', 'Liposuction', 'Nose surgery (Rhinoplasty)', 'Otoplasty', 'Pediatric Plastic Surgery', 'Tummy tuck (abdominoplasty)']",['Adult & Pediatrics'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17136/William-Austen
"Laura Avery, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17395/Laura-Avery
"Ross Avery, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23932/Ross-Avery
"Arman Avesta, Md, Phd",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23868/Arman-Avesta
"Claire Avillach, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23373/Claire-Avillach
"Mathew Avram, Md","['Body contouring', 'Botox (botulinum toxin injections)', 'Cosmetic dermatology', 'Dermatologic surgery', 'Laser treatments', 'Minimally invasive aesthetic surgery', 'Soft tissue fillers', 'Spider vein treatment (sclerotherapy)', 'Sun damaged skin', 'Tattoo removal', 'Tissue tightening']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17408/Mathew-Avram
"Caroline Awh, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23801/Caroline-Awh
"Cenk Ayata, Md","['Stroke and the neurologic intensive care', 'Vascular neurology']",['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/17034/Cenk-Ayata
"Catherine Ayoub, Edd, Mm",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/18017/Catherine-Ayoub
"Hadeal Ayoub, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23874/Hadeal-Ayoub
"Bassem Ayyash, Md",[],['Adult'],Massachusetts General Hospital,https://www.massgeneral.org/doctors/23283/Bassem-Ayyash
